,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
EXR,Real Estate,Extra Space Storage Inc.,0.074195,197.22,S&P500,31.94,6.17,0.80%,134.18M,4.06%,25.29B,30.97,6.37,-0.12%,132.24M,13.96%,827.10M,5.32,1.47,97.00%,1.96%,3.96%,1.66B,15.22,66.80%,-0.01%,3.88,-3.58%,23.92,8.24,8.20%,198.00,12.15%,0.51,383.23,6.00%,26.90%,156.70 - 228.84,-13.02%,6.00,71.43,16.30%,10.50%,-13.82%,0.51,3.04%,-,9.70%,75.40%,25.86%,4.55,4309,-,23.60%,58.40%,77.01,2.59% 2.32%,Yes,1.87,-1.20%,49.80%,0.85,195.25,Yes,1.87,Aug 02 AMC,81.00%,666.36K,197.22,2.30,10.64%,13.48%,2.04%,"566,870",1.01%,0
STT,Financials,State Street Corporation,0.073016,70.66,S&P500,9.78,7.22,0.40%,367.38M,-0.53%,25.20B,8.14,8.68,0.00%,366.72M,10.93%,2.65B,1.53,1.77,94.60%,1.07%,-0.79%,2.25B,11.20,13.70%,0.60%,1.43,-27.22%,64.76,1.09,0.80%,80.21,-19.24%,360.28,0.20,6.39%,10.70%,58.79 - 104.87,-24.02%,2.52,7.22,7.70%,3.70%,-32.62%,1.62,3.57%,-,-4.90%,-,20.18%,1.94,40354,-,50.50%,94.10%,59.86,2.08% 2.71%,Yes,0.57,-7.60%,-,0.53,70.33,Yes,0.57,Jul 15 BMO,30.40%,2.76M,70.66,2.30,5.78%,6.12%,-15.21%,"1,466,697",0.47%,0
BALL,Materials,Ball Corporation,0.054999,56.45,S&P500,16.65,3.38,0.50%,320.90M,-23.24%,17.76B,12.75,4.42,0.00%,316.57M,-19.97%,1.11B,1.65,0.90,90.90%,2.76%,-26.61%,14.40B,1.23,55.20%,-0.57%,3.75,-39.48%,12.15,4.64,5.60%,83.94,-30.23%,1.39,40.65,10.12%,30.20%,58.67 - 98.09,-41.46%,0.80,-,26.20%,9.80%,-42.54%,0.56,1.42%,0.60,8.80%,19.40%,-3.94%,2.87,24300,1.00,18.90%,11.00%,25.91,5.36% 3.24%,Yes,2.20,128.30%,7.80%,3.88,59.28,Yes,2.12,Aug 04 BMO,21.60%,2.33M,56.36,-,-19.03%,-19.10%,-33.08%,"9,025,481",-4.93%,0
FITB,Financials,Fifth Third Bancorp,0.065687,34.67,S&P500,10.48,3.31,0.40%,687.54M,1.61%,23.52B,8.30,4.18,-4.70%,682.80M,2.21%,2.31B,1.86,1.01,81.70%,2.05%,-8.72%,5.34B,4.41,104.30%,0.01%,2.84,-24.92%,26.27,1.32,1.30%,42.64,-6.25%,35.23,0.98,5.62%,13.40%,31.80 - 50.64,-20.39%,1.20,15.70,14.40%,15.00%,-31.54%,1.30,3.46%,-,4.40%,-,9.04%,0.98,19247,-,-1.00%,96.40%,53.31,2.38% 2.64%,Yes,0.60,-26.90%,49.80%,0.66,33.79,Yes,0.60,Jul 21 BMO,30.10%,4.93M,34.67,2.10,2.65%,-1.26%,-16.56%,"3,252,190",2.60%,0
LYB,Materials,LyondellBasell Industries NV,0.064079,85.61,S&P500,4.86,17.60,0.20%,328.00M,-3.94%,27.82B,5.43,15.76,-8.61%,256.40M,-3.53%,5.87B,1.46,4.41,72.20%,2.11%,-19.54%,50.25B,0.55,294.90%,0.12%,2.13,-10.35%,38.71,2.21,14.90%,106.76,-7.26%,5.49,15.59,3.33%,47.90%,80.37 - 112.53,-2.79%,4.76,6.55,12.90%,23.90%,-23.92%,1.28,5.56%,1.10,9.60%,18.70%,6.52%,2.43,19100,1.80,44.90%,13.50%,40.93,2.35% 2.43%,Yes,0.89,25.10%,11.20%,0.67,85.50,Yes,0.88,Jul 29 BMO,26.50%,2.55M,85.61,2.50,-1.36%,-8.19%,-8.89%,"1,697,076",0.13%,0
ROK,Industrials,Rockwell Automation Inc.,0.083652,252.24,S&P500,44.01,5.73,0.16%,116.00M,-1.19%,27.43B,23.13,10.90,-1.50%,115.18M,24.30%,670.00M,5.02,3.00,83.40%,2.67%,17.63%,7.44B,3.69,32.10%,2.16%,2.80,-11.41%,20.61,12.24,6.20%,239.20,-19.59%,4.50,56.07,8.77%,27.00%,190.08 - 354.99,-27.69%,4.48,-,15.80%,21.10%,-28.94%,1.45,1.78%,0.80,3.50%,39.40%,32.70%,7.21,24500,1.10,6.50%,9.00%,73.65,2.08% 3.02%,Yes,1.70,10.10%,9.00%,0.54,253.96,Yes,1.45,Jul 27 BMO,76.70%,1.10M,252.24,2.60,12.84%,18.95%,-7.69%,"587,562",-0.68%,0
CHD,Consumer Staples,Church & Dwight Co. Inc.,0.060376,89.93,S&P500,26.69,3.26,0.10%,242.60M,-1.10%,22.68B,25.90,3.36,-8.34%,242.35M,-8.66%,811.20M,4.14,0.84,86.30%,1.71%,-8.21%,5.25B,4.32,6.40%,0.49%,2.80,-15.57%,14.03,6.20,10.80%,95.87,3.88%,0.67,130.04,6.44%,24.50%,80.34 - 105.28,-15.12%,1.05,36.14,13.60%,15.10%,-17.36%,0.39,1.21%,0.30,8.20%,43.20%,8.29%,2.02,5100,0.70,4.70%,20.60%,34.59,2.08% 1.90%,Yes,0.71,-6.20%,15.80%,0.68,86.97,Yes,0.47,Jul 29 BMO,29.90%,1.48M,87.00,2.90,-6.34%,-3.89%,-8.81%,"1,003,539",0.03%,0
DHI,Consumer Discretionary,D.R. Horton Inc.,0.070994,76.04,S&P500,4.90,15.57,0.40%,350.80M,-2.15%,26.47B,5.32,14.34,-0.89%,305.87M,4.89%,5.56B,0.41,5.25,83.80%,4.42%,7.31%,31.95B,0.83,78.00%,-0.07%,3.50,-13.42%,51.49,1.48,21.30%,94.67,-20.75%,4.78,15.99,11.98%,34.00%,59.25 - 110.45,-29.60%,0.90,-,37.00%,20.60%,-30.87%,1.61,1.18%,-,18.00%,31.50%,28.86%,2.84,11788,-,20.60%,22.80%,56.11,3.90% 3.73%,Yes,0.33,52.30%,17.40%,0.54,76.70,Yes,0.23,Jul 21 BMO,5.60%,3.86M,76.35,2.00,1.66%,6.39%,-8.41%,"2,068,734",-0.46%,0
WST,Health Care,West Pharmaceutical Services Inc.,0.071476,340.42,S&P500,38.04,8.98,0.60%,74.40M,-0.54%,23.61B,35.18,9.71,-6.23%,73.61M,6.69%,685.60M,1.40,2.16,97.90%,1.31%,8.56%,2.93B,8.06,89.50%,-0.18%,2.20,-15.03%,32.59,10.48,20.90%,386.50,-19.72%,10.40,32.87,27.20%,29.50%,275.89 - 475.35,-27.14%,0.72,67.65,35.20%,24.80%,-28.12%,1.15,0.21%,2.40,13.40%,40.90%,23.85%,9.49,10065,3.10,6.60%,26.70%,65.57,2.00% 3.04%,Yes,0.10,1.30%,23.40%,0.49,340.48,Yes,0.09,Jul 28 BMO,7.70%,437.12K,341.70,2.10,7.71%,10.92%,-8.49%,"213,985",0.36%,0
EFX,Industrials,Equifax Inc.,0.073933,212.42,S&P500,35.01,6.07,0.40%,122.40M,1.69%,24.70B,24.50,8.67,-6.86%,121.89M,11.24%,749.90M,3.30,1.66,96.80%,1.81%,2.03%,5.16B,4.79,42.20%,2.12%,2.66,-9.00%,31.09,6.83,6.70%,224.58,-16.95%,1.92,110.44,10.60%,20.30%,169.25 - 300.11,-27.44%,1.56,204.26,8.30%,10.60%,-29.21%,1.49,0.73%,0.50,9.40%,59.10%,25.52%,5.62,12700,0.50,6.60%,22.50%,63.82,2.21% 2.77%,Yes,1.49,-6.60%,14.50%,0.86,213.79,Yes,1.07,Jul 20 AMC,25.40%,826.54K,212.45,2.00,6.68%,10.28%,-8.55%,"708,480",-0.63%,1
LH,Health Care,Laboratory Corporation of America Holdings,0.066974,254.67,S&P500,11.69,21.78,0.20%,93.20M,-2.87%,22.46B,14.01,18.18,-17.57%,92.46M,4.21%,2.10B,-,4.62,91.90%,2.21%,1.08%,15.86B,1.42,53.60%,-0.26%,2.63,-8.40%,115.03,2.21,11.50%,304.00,-14.80%,13.99,18.21,-13.21%,22.80%,212.40 - 317.17,-18.95%,2.88,8.48,29.00%,15.90%,-19.71%,1.02,1.13%,1.80,11.00%,33.20%,19.90%,5.70,75500,2.00,-6.30%,20.50%,59.02,1.99% 2.19%,Yes,0.51,-33.10%,15.00%,0.76,252.39,Yes,0.51,Jul 28 BMO,0.00%,774.98K,254.67,1.80,2.84%,5.40%,-4.64%,"587,963",0.90%,0
FE,Utilities,FirstEnergy Corp.,0.062971,38.37,S&P500,16.14,2.38,0.10%,571.00M,-6.64%,20.98B,15.17,2.53,0.00%,540.80M,3.06%,1.32B,-,0.80,86.30%,1.17%,-9.68%,11.59B,1.81,22.90%,0.26%,1.69,-9.93%,19.02,2.02,3.00%,44.70,1.05%,0.87,43.89,-2.42%,15.30%,35.32 - 48.85,-7.74%,1.56,-,11.90%,5.50%,-21.45%,0.42,4.07%,0.70,0.80%,71.50%,8.64%,0.88,12395,0.80,7.50%,18.00%,45.82,2.22% 2.02%,Yes,1.94,207.20%,11.80%,1.12,38.75,Yes,1.91,Jul 26 AMC,63.40%,3.74M,38.37,2.30,-0.30%,-1.94%,-6.69%,"4,192,072",-0.98%,0
TSCO,Consumer Discretionary,Tractor Supply Company,0.061005,188.55,S&P500,20.91,9.06,0.20%,112.53M,-1.11%,20.68B,18.15,10.44,-16.32%,111.02M,-6.92%,1.03B,2.00,2.08,85.90%,2.76%,-7.28%,13.26B,1.56,35.00%,0.00%,2.46,-13.72%,15.91,11.90,12.90%,236.46,0.69%,3.71,51.02,10.45%,51.20%,166.49 - 241.54,-20.64%,3.68,76.23,21.40%,33.80%,-21.60%,0.92,1.94%,0.30,13.40%,35.00%,13.74%,5.66,22000,1.40,8.30%,9.90%,44.20,2.41% 2.74%,Yes,0.57,6.60%,7.50%,0.72,187.84,Yes,0.57,Jul 21 BMO,23.90%,1.25M,189.36,2.20,-3.48%,-2.83%,-11.24%,"898,603",0.81%,0
ZBH,Health Care,Zimmer Biomet Holdings Inc.,0.067192,113.26,S&P500,78.82,1.44,5.48%,209.20M,2.60%,23.89B,15.96,7.10,-0.31%,208.90M,6.79%,303.20M,11.26,1.65,93.10%,1.28%,-7.57%,7.65B,3.12,395.20%,-0.06%,2.13,-3.73%,57.44,1.97,0.90%,125.89,-22.26%,2.07,54.82,7.00%,1.70%,100.39 - 149.17,-8.10%,0.96,21.59,6.30%,3.20%,-24.07%,1.17,0.85%,0.90,0.40%,69.60%,12.82%,2.73,19500,1.70,3.90%,7.20%,60.06,2.40% 2.10%,Yes,0.52,-62.20%,2.80%,0.48,113.35,Yes,0.44,Aug 02 BMO,92.00%,1.25M,113.26,2.70,5.14%,2.89%,-5.92%,"595,525",-0.08%,0
WTW,Financials,Willis Towers Watson Public Limited Company,0.066931,208.81,S&P500,14.99,13.93,0.40%,112.00M,0.90%,22.86B,13.52,15.44,-3.95%,110.76M,3.73%,1.75B,2.36,2.12,97.80%,1.83%,-3.39%,8.87B,2.58,170.20%,-0.07%,2.86,-10.89%,92.29,2.26,10.30%,235.07,-4.00%,17.54,11.91,6.36%,30.80%,187.89 - 249.70,-12.08%,3.28,14.94,40.40%,11.40%,-16.38%,0.78,1.57%,1.10,2.70%,-,11.13%,4.29,44000,1.10,-2.90%,24.00%,60.73,1.58% 2.05%,Yes,0.46,56.40%,39.90%,0.53,210.09,Yes,0.46,Jul 28 BMO,10.90%,708.87K,208.81,-,3.93%,3.55%,-6.24%,"372,388",-0.61%,0
HIG,Financials,Hartford Financial Services Group Inc.,0.060269,64.16,S&P500,8.82,7.27,0.20%,340.35M,-0.48%,21.06B,7.83,8.19,-16.29%,327.58M,-3.02%,2.54B,0.69,1.62,94.10%,0.80%,-10.90%,22.48B,0.94,39.60%,-0.31%,1.34,-11.12%,42.43,1.51,2.80%,82.06,-1.91%,0.79,81.62,12.84%,12.90%,61.59 - 78.17,-7.07%,1.54,6.36,33.60%,11.60%,-17.92%,0.93,2.40%,-,6.50%,-,4.17%,1.53,18100,-,-3.90%,12.50%,49.15,1.92% 2.14%,Yes,0.00,-47.50%,9.20%,1.14,63.13,Yes,0.31,Jul 28 AMC,24.40%,1.96M,64.16,2.10,0.74%,-3.12%,-7.73%,"2,242,451",1.63%,0
ARE,Real Estate,Alexandria Real Estate Equities Inc.,0.067869,159.78,S&P500,85.49,1.87,1.00%,161.41M,-3.62%,24.89B,53.40,2.99,-3.32%,161.37M,6.80%,292.60M,-,0.70,-,4.35%,-10.83%,2.38B,10.44,-36.50%,0.38%,5.92,-16.69%,106.18,1.50,0.90%,201.45,-22.87%,2.70,59.22,-8.40%,1.80%,130.00 - 224.95,-28.34%,4.72,-,31.40%,1.60%,-28.97%,0.92,2.95%,-,18.10%,69.80%,22.91%,3.55,559,-,-34.90%,21.90%,60.56,1.68% 2.19%,Yes,0.60,-36.40%,12.30%,0.44,159.91,Yes,0.60,Jul 25 AMC,245.30%,1.19M,159.78,1.70,5.61%,6.36%,-13.95%,"526,901",-0.08%,0
LUV,Industrials,Southwest Airlines Co.,0.065163,38.8,S&P500,24.66,1.57,0.30%,592.00M,1.81%,24.61B,11.22,3.46,-0.12%,590.89M,5.69%,996.00M,-,0.63,80.00%,1.73%,-17.43%,21.15B,1.16,129.50%,-0.34%,1.78,-10.66%,17.60,2.21,2.60%,52.67,-23.07%,24.82,1.56,-,9.60%,34.36 - 56.33,-9.41%,-,10.63,-14.20%,6.40%,-31.10%,1.01,-,1.80,-4.90%,70.90%,12.95%,1.28,58865,1.90,128.80%,8.00%,48.81,2.63% 2.90%,Yes,1.03,-346.50%,4.60%,0.79,38.79,Yes,0.99,Jul 28 BMO,0.00%,5.74M,38.81,2.20,-0.99%,-1.59%,-10.70%,"4,560,544",0.05%,0
ABC,Health Care,AmerisourceBergen Corporation,0.059771,141.31,S&P500,17.26,8.19,0.20%,209.24M,-3.17%,29.42B,12.38,11.42,-93.65%,156.08M,0.37%,1.73B,1.75,2.56,67.50%,2.59%,-8.94%,229.67B,0.13,144.40%,0.39%,2.79,2.49%,2.63,53.73,3.00%,170.67,15.93%,16.10,8.78,9.87%,655.90%,113.68 - 167.19,6.34%,1.84,11.93,3.20%,24.30%,-15.48%,0.48,1.30%,0.60,7.80%,3.50%,24.31%,3.50,38000,0.90,17.40%,1.10%,45.41,3.47% 2.25%,Yes,11.73,23.10%,0.80%,0.68,139.27,Yes,8.44,Aug 03 BMO,21.70%,1.45M,141.31,2.30,-0.79%,-2.27%,0.53%,"981,339",1.46%,0
DRE,Real Estate,Duke Realty Corporation,0.067014,62.41,S&P500,25.05,2.48,0.10%,382.71M,-0.70%,22.93B,65.53,0.95,-28.85%,-,8.00%,947.80M,4.17,0.22,99.40%,-,21.76%,1.11B,20.69,179.20%,0.88%,2.54,5.65%,16.27,3.82,8.30%,62.83,22.09%,0.02,2492.16,6.00%,14.40%,47.12 - 66.22,-5.36%,1.12,-,21.90%,9.60%,-6.19%,0.71,1.80%,-,8.60%,73.30%,31.83%,1.42,340,-,-3.80%,86.70%,67.21,1.89% 2.30%,Yes,0.59,206.90%,76.80%,0.28,61.75,Yes,0.59,Jul 18 BMO,46.40%,3.38M,62.12,-,4.84%,11.26%,8.98%,"961,915",0.60%,0
CTRA,Energy,Coterra Energy Inc.,0.063171,28.0,S&P500,13.13,2.13,1.00%,810.00M,-8.70%,22.12B,7.08,3.95,-3.73%,792.54M,5.88%,1.64B,1.12,1.23,96.40%,4.38%,-11.01%,4.67B,4.74,358.90%,1.13%,3.23,25.60%,14.47,1.93,13.20%,37.33,85.55%,1.83,15.28,11.72%,23.30%,13.40 - 36.55,51.71%,0.60,35.22,35.20%,8.20%,-23.58%,0.04,2.15%,1.50,24.40%,78.60%,108.42%,1.24,936,1.60,265.20%,46.90%,46.67,4.44% 3.93%,Yes,0.27,136.40%,35.10%,0.64,27.39,Yes,0.26,Aug 02 AMC,31.40%,10.73M,27.93,2.30,-0.87%,-5.91%,12.02%,"6,832,208",1.97%,0
CDW,Information Technology,CDW Corp.,0.069469,179.6,S&P500,24.82,7.24,0.20%,134.90M,-1.01%,23.38B,17.10,10.51,3.49%,134.57M,12.43%,1.01B,1.89,2.42,95.00%,1.33%,4.95%,21.93B,1.07,29.20%,0.06%,2.44,-6.88%,6.62,27.14,9.00%,218.79,-5.73%,2.97,60.43,13.10%,115.50%,152.15 - 208.71,-12.25%,2.00,51.45,22.40%,15.10%,-13.90%,1.12,1.11%,1.10,8.80%,17.70%,18.10%,3.81,13900,1.30,23.00%,6.90%,66.59,1.97% 2.12%,Yes,7.39,12.60%,4.60%,1.12,180.02,Yes,7.29,Aug 03 BMO,24.50%,731.35K,179.69,1.90,5.90%,7.88%,0.34%,"822,759",-0.18%,0
STE,Health Care,STERIS Plc,0.059358,211.98,S&P500,88.55,2.39,0.20%,100.10M,-6.06%,20.83B,22.47,9.43,-13.39%,99.78M,2.31%,243.90M,8.85,1.92,95.70%,1.58%,-6.60%,4.59B,4.54,-46.40%,0.42%,3.08,-7.15%,65.26,3.25,2.10%,259.83,-1.65%,3.55,59.80,10.00%,3.70%,192.40 - 255.93,-12.91%,1.72,89.00,14.20%,3.70%,-17.17%,0.71,0.81%,1.40,11.90%,44.00%,10.18%,6.13,16422,2.00,38.60%,9.30%,47.63,4.05% 2.40%,Yes,0.47,-49.80%,5.30%,1.38,207.99,Yes,0.45,Aug 02 AMC,70.00%,513.31K,211.98,1.60,-1.11%,-0.96%,-6.81%,"710,423",1.92%,0
VTR,Real Estate,Ventas Inc.,0.057763,49.17,S&P500,129.16,0.38,0.50%,399.30M,-8.98%,19.04B,147.44,0.33,-7.45%,397.85M,-3.57%,144.90M,-,0.01,96.00%,1.60%,-14.12%,3.94B,4.84,-89.10%,-0.12%,3.48,-4.45%,27.58,1.77,0.60%,61.15,-18.39%,0.38,127.26,-,1.30%,45.44 - 64.02,-4.24%,1.80,110.24,-39.60%,1.30%,-23.54%,1.15,3.68%,-,2.10%,45.50%,7.72%,1.30,434,-,11.80%,9.90%,35.03,2.68% 2.30%,Yes,1.13,162.90%,3.70%,1.52,50.87,Yes,1.13,Aug 04 AMC,468.90%,1.83M,48.95,2.30,-5.19%,-6.44%,-9.18%,"2,779,902",-3.77%,0
ANET,Information Technology,Arista Networks Inc.,0.078518,126.68,S&P500,43.40,2.92,0.20%,308.05M,8.62%,36.53B,30.08,4.21,-81.37%,236.82M,24.23%,932.70M,2.33,0.91,66.80%,1.43%,14.15%,3.16B,11.57,31.90%,-0.03%,1.67,3.65%,13.48,9.40,16.60%,143.21,33.14%,11.87,10.67,18.60%,23.80%,85.18 - 148.57,-11.87%,-,40.42,33.30%,21.00%,-14.73%,1.34,-,3.20,21.20%,63.60%,48.72%,4.11,2993,3.70,31.40%,31.60%,79.47,3.73% 3.48%,Yes,0.00,50.40%,29.50%,1.23,123.06,Yes,0.00,Aug 01 AMC,0.00%,2.02M,126.68,2.20,17.95%,24.47%,6.88%,"2,493,495",2.94%,0
ANSS,Information Technology,ANSYS Inc.,0.072374,260.17,S&P500 NDQ100,55.49,5.14,0.60%,87.12M,2.33%,23.60B,33.09,8.63,-2.03%,86.64M,13.13%,453.20M,4.82,1.60,95.70%,1.95%,4.70%,1.97B,11.99,3.80%,0.27%,3.16,-12.18%,50.09,5.70,7.50%,312.00,-23.56%,7.96,35.88,11.50%,10.40%,225.92 - 413.89,-28.83%,-,41.68,11.60%,8.60%,-31.03%,1.29,-,2.30,14.00%,86.80%,26.36%,8.26,5100,2.30,17.00%,27.70%,65.70,2.78% 2.91%,Yes,0.17,-1.70%,23.00%,0.88,292.63,Yes,0.17,Aug 03 AMC,0.00%,535.34K,285.48,2.70,10.51%,13.42%,-9.69%,"472,697",-2.44%,0
PPL,Utilities,PPL Corporation,0.061162,28.07,S&P500,206.40,0.14,0.10%,735.50M,-3.47%,19.95B,17.41,1.61,-4.23%,735.11M,3.01%,88.00M,11.75,0.30,68.30%,1.53%,-2.53%,6.07B,3.29,-97.20%,0.17%,2.03,-5.42%,18.85,1.49,1.80%,30.56,-2.74%,5.98,4.69,17.56%,4.40%,24.98 - 30.72,-6.62%,0.90,-,-61.50%,3.70%,-8.61%,0.77,3.21%,1.80,-5.10%,85.40%,12.39%,0.54,5607,1.90,19.00%,24.10%,50.60,2.08% 1.71%,Yes,0.87,40.50%,10.40%,0.80,28.60,Yes,0.77,Aug 03 BMO,196.40%,5.55M,28.07,2.40,0.74%,0.28%,-1.52%,"4,440,966",-1.85%,0
WAT,Health Care,Waters Corporation,0.0583,337.87,S&P500,29.53,11.44,0.20%,60.58M,-7.19%,19.87B,25.76,13.12,-3.29%,59.91M,-1.48%,704.50M,3.21,2.66,91.70%,1.73%,1.39%,2.87B,6.93,33.70%,0.10%,2.61,2.81%,6.19,54.58,22.80%,346.69,-14.97%,8.56,39.49,9.20%,215.80%,288.32 - 428.22,-9.32%,-,34.41,11.80%,37.60%,-21.10%,0.82,-,1.70,5.10%,58.60%,17.19%,9.69,7800,2.30,13.50%,29.50%,47.83,2.77% 2.70%,Yes,0.00,10.90%,24.60%,0.71,334.56,Yes,3.85,Aug 02 BMO,0.00%,397.30K,337.87,2.90,-1.65%,1.12%,1.88%,"283,520",0.99%,0
FANG,Energy,Diamondback Energy Inc.,0.056289,121.8,S&P500,7.99,15.20,0.10%,177.56M,-5.19%,20.75B,5.15,23.56,-30.10%,176.66M,4.36%,2.74B,0.47,6.58,91.30%,3.71%,-10.81%,8.02B,2.59,141.40%,-0.27%,2.11,-4.47%,71.77,1.69,12.00%,180.03,54.84%,0.87,139.24,17.01%,23.20%,64.74 - 162.24,14.61%,2.80,4.96,50.00%,17.50%,-25.19%,2.12,2.31%,0.70,66.80%,82.00%,87.48%,6.31,870,0.70,103.40%,62.60%,49.72,5.55% 4.44%,Yes,0.46,227.10%,34.20%,0.79,116.45,Yes,0.46,Aug 01 AMC,12.80%,3.12M,121.37,1.90,3.33%,-6.44%,-1.76%,"2,475,094",4.22%,0
MKC,Consumer Staples,McCormick & Company Incorporated,0.062448,88.33,S&P500,34.91,2.53,0.10%,268.30M,1.12%,23.16B,26.91,3.28,-13.40%,264.10M,6.83%,683.20M,6.85,0.82,86.00%,2.82%,-8.41%,6.34B,3.65,0.80%,0.75%,5.92,-14.16%,17.14,5.15,5.30%,90.34,6.10%,1.24,71.08,5.10%,15.20%,77.85 - 107.35,-8.57%,1.48,215.81,8.70%,8.50%,-17.72%,0.50,1.68%,0.30,7.40%,37.70%,13.46%,1.58,14000,0.70,-1.30%,14.30%,64.22,1.38% 1.69%,Yes,1.17,-35.60%,10.80%,0.64,88.29,Yes,0.85,Jun 29 BMO,55.60%,1.26M,88.33,3.00,4.63%,2.58%,-4.25%,"810,086",0.05%,0
ON,Information Technology,ON Semiconductor Corporation,0.084495,67.45,S&P500,20.78,3.25,0.30%,433.30M,1.27%,27.51B,14.18,4.77,-6.00%,432.80M,30.03%,1.45B,1.18,1.26,97.90%,5.60%,22.45%,7.20B,3.82,306.80%,2.56%,2.66,20.32%,11.54,5.86,15.50%,69.71,50.89%,4.04,16.72,17.61%,33.20%,40.85 - 71.25,-0.43%,-,18.33,39.30%,14.60%,-5.09%,1.80,-,1.80,11.50%,43.80%,65.56%,2.91,30000,2.80,31.30%,24.90%,65.72,5.08% 4.59%,Yes,0.65,485.70%,20.10%,0.80,68.05,Yes,0.61,Aug 01 BMO,0.00%,9.11M,67.63,2.00,13.34%,17.64%,15.42%,"7,296,149",-0.62%,0
NTRS,Financials,Northern Trust Corporation,0.059081,100.14,S&P500,13.60,7.34,0.30%,208.38M,0.08%,20.22B,12.00,8.32,-0.06%,207.56M,2.62%,1.53B,1.25,1.87,84.90%,1.52%,-6.37%,6.77B,2.99,30.70%,0.08%,3.44,-16.51%,48.88,2.04,0.90%,113.73,-11.02%,25.28,3.95,10.84%,14.30%,89.68 - 135.15,-16.51%,3.00,20.78,10.50%,0.90%,-26.11%,1.14,3.00%,-,4.90%,-,11.35%,2.42,21100,-,15.00%,30.70%,54.24,1.67% 2.38%,Yes,14.02,7.90%,22.60%,0.49,99.85,Yes,0.43,Jul 20 BMO,38.00%,917.17K,99.86,2.60,2.27%,-0.07%,-11.36%,"453,485",0.01%,0
MTCH,Communication Services,Match Group Inc.,0.053562,67.33,S&P500 NDQ100,74.98,0.90,0.40%,284.46M,-7.54%,19.00B,23.22,2.92,1.45%,283.82M,-10.67%,283.50M,4.53,0.54,98.97%,2.99%,-11.84%,3.11B,6.10,-55.90%,0.64%,2.56,-39.47%,-0.43,-,5.80%,108.10,-53.71%,3.29,20.62,16.55%,-211.60%,59.15 - 182.00,-48.75%,-,19.88,6.60%,11.60%,-62.76%,0.78,-,1.10,21.70%,71.20%,14.58%,4.47,2500,1.10,19.60%,27.90%,45.36,6.81% 5.14%,Yes,-,13.10%,9.10%,1.06,66.53,Yes,-,Aug 02 AMC,0.00%,3.31M,67.78,1.90,-3.47%,-7.93%,-35.31%,"3,520,458",1.88%,0
MAA,Real Estate,Mid-America Apartment Communities Inc.,0.058484,178.79,S&P500,35.28,5.09,0.60%,115.35M,-3.33%,20.19B,40.42,4.44,-5.62%,114.63M,4.99%,587.40M,5.04,1.02,94.90%,1.98%,-3.66%,1.89B,10.70,110.00%,-0.22%,3.41,-15.72%,51.87,3.46,5.20%,199.53,-6.24%,0.54,333.10,7.00%,9.90%,158.85 - 231.63,-21.75%,5.00,44.11,11.40%,4.20%,-22.49%,0.71,2.78%,-,9.60%,60.10%,13.02%,3.86,2429,-,-42.60%,29.00%,58.06,2.24% 2.07%,Yes,0.76,-20.20%,31.10%,0.63,178.77,Yes,0.76,Jul 27 AMC,82.90%,666.69K,179.54,2.40,3.30%,3.78%,-9.32%,"420,356",0.43%,0
GWW,Industrials,W.W. Grainger Inc.,0.067582,559.0,S&P500,24.61,22.59,0.30%,51.10M,2.30%,25.49B,19.21,28.94,-11.21%,46.19M,17.35%,1.17B,1.89,6.80,73.60%,2.61%,15.08%,13.59B,1.88,54.40%,1.29%,3.87,9.54%,40.72,13.65,15.80%,560.70,26.58%,7.94,70.02,13.00%,54.50%,391.16 - 553.53,7.29%,6.88,78.42,15.10%,27.80%,0.45%,1.19,1.24%,1.40,5.10%,36.90%,42.15%,13.70,22700,2.50,18.30%,11.40%,76.68,2.41% 2.38%,Yes,0.00,57.40%,7.70%,1.05,543.34,Yes,1.12,Jul 29 BMO,31.80%,311.80K,556.02,2.60,13.43%,15.91%,14.06%,"327,112",2.33%,0
